Clade	Epitope	EscProp	group	EpiMax	NormalByMax
BE.1	E1/E2.1	0.417910448	BA45	0.457627119	0.913211719
BE.1	E2.2	0	BA45	0.031690141	0
BE.1	E3	0	BA45	0.041666667	0
BE.1	F1	0.007462687	BA45	0.040540541	0.184079602
BE.1	F3	0	BA45	0.020242915	0
BE.3	A1	0.015625	BA45	0.125	0.125
BE.3	A2	0	BA45	0.121621622	0
BE.3	B	0.046875	BA45	0.178571429	0.2625
BE.3	C/D1	0.15625	BA45	0.178571429	0.875
BE.3	D2	0.359375	BA45	0.389830508	0.921875
BE.3	D3	0.265625	BA45	0.271186441	0.979492188
BE.3	D4	0.046875	BA45	0.150684932	0.311079545
BE.3	E1/E2.1	0.34375	BA45	0.457627119	0.751157407
BE.3	E2.2	0	BA45	0.031690141	0
BE.3	E3	0	BA45	0.041666667	0
BE.3	F1	0	BA45	0.040540541	0
BE.3	F3	0	BA45	0.020242915	0
BF.10	A1	0.032258065	BA45	0.125	0.258064516
BF.10	A2	0.04516129	BA45	0.121621622	0.371326165
BF.10	B	0.025806452	BA45	0.178571429	0.144516129
BF.10	C/D1	0.070967742	BA45	0.178571429	0.397419355
BF.10	D2	0.316129032	BA45	0.389830508	0.810939691
BF.10	D3	0.180645161	BA45	0.271186441	0.666129032
BF.10	D4	0.058064516	BA45	0.150684932	0.385337243
BF.10	E1/E2.1	0.283870968	BA45	0.457627119	0.620310633
BF.10	E2.2	0.006451613	BA45	0.031690141	0.203584229
BF.10	E3	0	BA45	0.041666667	0
BF.10	F1	0.006451613	BA45	0.040540541	0.159139785
BF.10	F3	0	BA45	0.020242915	0
BF.26	A1	0.025	BA45	0.125	0.2
BF.26	A2	0.0125	BA45	0.121621622	0.102777778
BF.26	B	0.025	BA45	0.178571429	0.14
BF.26	C/D1	0.125	BA45	0.178571429	0.7
BF.26	D2	0.2875	BA45	0.389830508	0.7375
BF.26	D3	0.2	BA45	0.271186441	0.7375
BF.26	D4	0.0625	BA45	0.150684932	0.414772727
BF.26	E1/E2.1	0.4	BA45	0.457627119	0.874074074
BF.26	E2.2	0.0125	BA45	0.031690141	0.394444444
BF.26	E3	0	BA45	0.041666667	0
BF.26	F1	0	BA45	0.040540541	0
BF.26	F3	0	BA45	0.020242915	0
BF.5	A1	0.034782609	BA45	0.125	0.27826087
BF.5	A2	0.017391304	BA45	0.121621622	0.142995169
BF.5	B	0.026086957	BA45	0.178571429	0.146086957
BF.5	C/D1	0.086956522	BA45	0.178571429	0.486956522
BF.5	D2	0.295652174	BA45	0.389830508	0.758412098
BF.5	D3	0.182608696	BA45	0.271186441	0.673369565
BF.5	D4	0.060869565	BA45	0.150684932	0.403952569
BF.5	E1/E2.1	0.365217391	BA45	0.457627119	0.798067633
BF.5	E2.2	0.008695652	BA45	0.031690141	0.274396135
BF.5	E3	0	BA45	0.041666667	0
BF.5	F1	0.026086957	BA45	0.040540541	0.643478261
BF.5	F3	0.008695652	BA45	0.020242915	0.429565217
BA.4.6	A1	0.07788162	BA45Plus	0.125	0.62305296
BA.4.6	A2	0.049844237	BA45Plus	0.121621622	0.409830391
BA.4.6	B	0.065420561	BA45Plus	0.178571429	0.36635514
BA.4.6	C/D1	0.174454829	BA45Plus	0.178571429	0.97694704
BA.4.6	D2	0.205607477	BA45Plus	0.389830508	0.527427875
BA.4.6	D3	0.152647975	BA45Plus	0.271186441	0.562889408
BA.4.6	D4	0.065420561	BA45Plus	0.150684932	0.43415463
BA.4.6	E1/E2.1	0.161993769	BA45Plus	0.457627119	0.353986385
BA.4.6	E2.2	0.009345794	BA45Plus	0.031690141	0.294911734
BA.4.6	E3	0.012461059	BA45Plus	0.041666667	0.299065421
BA.4.6	F1	0.018691589	BA45Plus	0.040540541	0.46105919
BA.4.6	F3	0.00623053	BA45Plus	0.020242915	0.307788162
BF.7	A1	0.125	BA45Plus	0.125	1
BF.7	A2	0.058333333	BA45Plus	0.121621622	0.47962963
BF.7	B	0.066666667	BA45Plus	0.178571429	0.373333333
BF.7	C/D1	0.125	BA45Plus	0.178571429	0.7
BF.7	D2	0.15	BA45Plus	0.389830508	0.384782609
BF.7	D3	0.1	BA45Plus	0.271186441	0.36875
BF.7	D4	0.025	BA45Plus	0.150684932	0.165909091
BF.7	E1/E2.1	0.158333333	BA45Plus	0.457627119	0.345987654
BF.7	E2.2	0.008333333	BA45Plus	0.031690141	0.262962963
BF.7	E3	0.041666667	BA45Plus	0.041666667	1
BF.7	F1	0.025	BA45Plus	0.040540541	0.616666667
BF.7	F3	0.008333333	BA45Plus	0.020242915	0.411666667
BQ.1.1.32	A1	0.035714286	BA45Plus	0.125	0.285714286
BQ.1.1.32	A2	0.035714286	BA45Plus	0.121621622	0.293650794
BQ.1.1.32	B	0.178571429	BA45Plus	0.178571429	1
BQ.1.1.32	C/D1	0.178571429	BA45Plus	0.178571429	1
BQ.1.1.32	D2	0.107142857	BA45Plus	0.389830508	0.27484472
BQ.1.1.32	D3	0.071428571	BA45Plus	0.271186441	0.263392857
BQ.1.1.32	D4	0	BA45Plus	0.150684932	0
BQ.1.1.32	E1/E2.1	0.107142857	BA45Plus	0.457627119	0.234126984
BQ.1.1.32	E2.2	0	BA45Plus	0.031690141	0
BQ.1.1.32	E3	0	BA45Plus	0.041666667	0
BQ.1.1.32	F1	0	BA45Plus	0.040540541	0
BQ.1.1.32	F3	0	BA45Plus	0.020242915	0
BQ.1.1	A1	0.057003257	BA45Plus	0.125	0.456026059
BQ.1.1	A2	0.029315961	BA45Plus	0.121621622	0.241042345
