Month	SeqNum	BA.5.2.48	DY.1	DY.2	DY.3	DY.4	BA.5.2.49	DZ.1	DZ.2	BF.7.14	BF.7.14.1	BF.7.14.2	BF.7.14.3	BF.7.14.4	BF.7.14.5	BF.7.14.6	BF.7.14.7	XBB*
2023-01	5373	0.611948632049135	0.000186115764005211	0.00130281034803648	0.00800297785222408	0.000930578820026056	0.0632793597617718	0	0	0.270240089335567	0.000186115764005211	0	0	0	0.000372231528010422	0	0	0.000372231528010422
2022-12	4926	0.558465286236297	0	0	0.000406008932196508	0	0.0661794559480309	0	0	0.278116118554608	0	0	0	0	0	0	0	0.00426309378806334
2022-11	979	0.26046986721144	0	0	0	0	0.0623084780388151	0	0	0.410623084780388	0	0	0	0	0	0	0	0.0153217568947906
2022-08	666	0.003003003003003	0	0	0	0	0	0	0	0.0015015015015015	0	0	0	0	0	0	0	0
2022-09	446	0.00224215246636771	0	0	0	0	0.00672645739910314	0	0	0.00224215246636771	0	0	0	0	0	0	0	0.00224215246636771
2022-10	500	0.176	0	0	0	0	0.272	0	0	0.088	0	0	0	0	0	0	0	0.026
2022-07	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-02	2649	0.573423933559834	0.000755001887504719	0.00377500943752359	0.0132125330313326	0.00302000755001888	0.0547376368440921	0	0	0.292185730464326	0.000377500943752359	0	0	0	0.00226500566251416	0	0	0.00906002265005663
2023-05	2424	0.0111386138613861	0.00165016501650165	0.00247524752475248	0	0.000825082508250825	0	0	0	0.0111386138613861	0.000412541254125413	0.000412541254125413	0	0	0.000412541254125413	0	0	0.907590759075908
2023-04	2147	0.0898928737773638	0.00698649278062413	0.00978108989287378	0.00139729855612483	0.00326036329762459	0.000931532370749884	0.000465766185374942	0	0.0763856544014904	0.00186306474149977	0.000931532370749884	0	0.000931532370749884	0.00186306474149977	0	0	0.742897065673032
2023-03	992	0.429435483870968	0.00403225806451613	0.0735887096774194	0.00201612903225806	0.0110887096774194	0.0584677419354839	0.00100806451612903	0	0.338709677419355	0.0141129032258065	0	0	0.00100806451612903	0.00403225806451613	0	0	0.032258064516129
